Bundesland;Impfungen kumulativ;Differenz zum Vortag;Indikation nach Alter*;Berufliche Indikation*;Medizinische Indikation*;Pflegeheim-bewohnerIn*;
Baden-Württemberg;24.063;4.014;11.041;7.428;1.382;4.200;
Bayern;57.833;11.742;12.855;25.636;1.091;20.428;
Berlin;14.616;1.443;9.817;3.647;105;10.968;
Brandenburg;3.219;;204;2.995;20;224;"(keine Meldung für den 02.01.; Nachmeldung erfolgt am 04.01.2020) "
Bremen;1.837;96;824;465;9;265;
Hamburg;3.704;662;1.439;2.010;;1.696;
Hessen;30.085;5.294;8.443;17.635;1.096;11.569;
Mecklenburg-Vorpommern;11.494;;178;6.583;8;4.804;
Niedersachsen;4.962;1.017;912;2.641;982;2.918;
Nordrhein-Westfalen;48.691;13.142;;18.806;;29.893;
Rheinland-Pfalz;7.248;59;;3.516;;3.732;(Nachmeldungen der mobilen Teams stehen noch aus)
Saarland;4.149;833;3.122;495;;1.580;
Sachsen;4.343;343;368;3.535;1;807;
Sachsen-Anhalt;12.822;1.051;4.237;6.194;546;6.410;
Schleswig-Holstein;8.933;969;2.525;5.136;2.077;3.987;
Thüringen;810;;232;297;;413;
Gesamt;238.809;40.665;56.197;107.019;7.317;103.894;
;;;;;;;
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.;;;;;;;
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.;;;;;;;
