Bundesland;Impfungen kumulativ;Differenz zum Vortag;Indikation nach Alter*;Berufliche Indikation*;Medizinische Indikation*;Pflegeheim-bewohnerIn*
Baden-Württemberg**;4.721;2.560;1.720;1.877;326;192
Bayern;5.219;1.830;1.457;1.830;91;2.423
Berlin;3.839;2.213;3.340;517;105;3.322
Brandenburg**;107;75;60;47;;60
Bremen**;592;174;276;133;;278
Hamburg;1.071;626;507;471;;600
Hessen;4.354;1.242;1.480;2.425;287;1.702
Mecklenburg-Vorpommern;4.170;3.488;100;1.862;2;2.209
Niedersachsen;835;501;79;370;141;552
Nordrhein-Westfalen;7.136;518;;1.788;;5.348
Rheinland-Pfalz;1.462;210;;715;;747
Saarland;862;647;658;51;;466
Sachsen;857;675;240;551;1;305
Sachsen-Anhalt;3.985;2.481;1.592;1.678;124;2.292
Schleswig-Holstein;2.495;1.686;588;528;584;1.136
Thüringen;257;158;135;121;;135
Gesamt;41.962;19.084;12.232;14.964;1.661;21.767
;;;;;;
Anmerkung zu den Indikationen: es können mehrere Indikationen je geimpfter Person vorliegen;;;;;;
;;;;;;
* in einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen;;;;;;
** einschl. Korrekturmeldung vom 27.12.20;;;;;;
